"","Doses","E25","c0.1","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c71.99","c72.1","E40","C0","C23.99","C24.1","C35.99","C36.1","C47.99","C48.1","C71.99","C72.1"
"1","2.5,7,0,0","7.83295824624131e-23","5.81516749862685","1.17181840703193","17.4401896771876","5.43041016978138","5.41122539421503","3.41747977481668","3.40579709188595","1.44402728592124","1.4397674221778","0.0571693293360967","7.01343514351678","1.20558781745552","20.8051768991902","6.25894585039215","6.21426901263674","2.40637676465953","2.38899996811193","0.3647765606099","0.362432786066641"
"2","3,6,0,0","2.48696110879795e-09","6.97820142234051","1.40617774622759","15.3491922458783","4.9165464942967","4.89927645737827","3.10319438460266","3.09266647846359","1.32393942500596","1.32009527459805","0.265324702268272","8.41611156730753","1.44670423673643","18.243745726486","5.53919355972674","5.49975150853729","2.13505854267051","2.11969639908612","0.329329497313753","0.327253250328549"
"3","4,0,0,0","0.00567954539462042","9.30427296024439","1.87491507602521","1.86884947955907","1.22223462782198","1.21838026201769","0.811650186611633","0.809250711583972","0.402273959770611","0.40137405372707","0.597191585989581","11.221500892596","1.92894174577877","1.91685013884758","0.813850729620733","0.808494715140277","0.338124058200972","0.33594106253734","0.0777683762269816","0.0774542978027294"
"4","4,4,4","0.00567954549556864","9.30427296024439","1.87491507602521","1.86884947955907","1.22223462782198","10.5153302511586","3.41087098499636","3.39879675221765","1.3972284250482","10.6865823181107","0.597191619821642","11.221500892596","1.92894174577877","1.91685013884758","0.813850729620733","12.0083554661677","3.34957420908105","3.32422678175364","0.463289789786097","11.6502613404302"
"5","4,7,7","0.00567956670524017","9.30427296024439","1.87491507602521","1.86884947955907","1.22223462782198","17.4880246817199","5.36027275243942","5.34094250294699","2.14343898515727","18.4004798548901","0.597215563506383","11.221500892596","1.92894174577877","1.91685013884758","0.813850729620733","20.408256769625","5.60817895073523","5.56545806784542","0.752433041959761","20.329878228832"
"6","4,4,0,0","0.00572309164373953","9.30427296024439","1.87491507602521","11.1672133071898","3.88881105815872","3.8753705331206","2.47461905897908","2.46640072674639","1.0837625392589","1.08074982261375","0.680377591463107","11.221500892596","1.92894174577877","13.1209426385196","4.09974210300745","4.07076924401196","1.59244243416028","1.58110944876318","0.2584383618416","0.256897150113501"
"7","4,4,4,0","0.00572440380921684","9.30427296024439","1.87491507602521","11.1672133071898","3.88881105815872","3.8753705331206","2.47461905897908","11.7621398252666","2.62278519063235","2.61407126609481","0.681849956915103","11.221500892596","1.92894174577877","13.1209426385196","4.09974210300745","4.07076924401196","1.59244243416028","12.7773904993581","1.20934434057432","1.20013196052889"
"8","4,4,4,7","0.0057244353249016","9.30427296024439","1.87491507602521","11.1672133071898","3.88881105815872","3.8753705331206","2.47461905897908","11.7621398252666","2.62278519063235","18.8779418880523","0.681850398191457","11.221500892596","1.92894174577877","13.1209426385196","4.09974210300745","4.07076924401196","1.59244243416028","12.7773904993581","1.20934434057432","20.7830475877344"
"9","4,4,5,4","0.00573176213440145","9.30427296024439","1.87491507602521","11.1672133071898","3.88881105815872","3.8753705331206","2.47461905897908","14.0860231514008","3.00752196842474","12.2910736599132","0.69192939490068","11.221500892596","1.92894174577877","13.1209426385196","4.09974210300745","4.07076924401196","1.59244243416028","15.5764600325278","1.44707102868521","12.6261822669906"
"10","4,4,7,4","0.00665200365821362","9.30427296024439","1.87491507602521","11.1672133071898","3.88881105815872","3.8753705331206","2.47461905897908","18.7339439275061","3.77703556754044","13.0577263243744","0.906668085575879","11.221500892596","1.92894174577877","13.1209426385196","4.09974210300745","4.07076924401196","1.59244243416028","21.174607816139","1.92252479879416","13.097794138725"
