"","Doses","E25.E40"
"1","2.5,7,0,0",0.0571693293360967
"2","3,6,0,0",0.265324704755233
"3","4,0,0,0",0.602871131384201
"4","4,4,4",0.602871165317211
"5","4,7,7",0.602895130211623
"6","4,4,0,0",0.686100683106846
"7","4,4,4,0",0.68757436072432
"8","4,4,4,7",0.687574833516359
"9","4,4,5,4",0.697661157035081
"10","4,4,7,4",0.913320089234093
"11","4,5,4,4",0.92205897608538
"12","4,6,4,4",1.02262103897883
"13","4,7,0,0",1.03966727259617
"14","4,7,4,4",1.79405351553093
"15","4.5,4.5,4.5,4.5",1.0269151662399
"16","5,0,0,0",1.08405536617677
"17","5,6,6",1.08409715291855
"18","5,4,0,0",1.16011153229608
"19","5,4,4,4",1.16172926121914
"20","5,5,5,5",1.6736210223335
"21","6,0,0,0",1.51721282948642
"22","6,4,4",1.5172205857522
"23","6,6,6",1.51759481698794
"24","6,3,0,0",1.5534272578212
"25","6,4,0,0",1.65931341955796
"26","6,4,4,0",1.69866870938529
"27","6,4,4,4",1.69928017517313
"28","7,0,0,0",1.82701174605568
"29","7,4,0",1.82711428452315
"30","7,4,0,0",1.97400396406908
"31","7,4,4,0",1.98870667795408
"32","7,4,4,4",1.98888439991737
